time,PWM0,PWM1,PWM2,PWM3
0.000000,48017,46303,47426,45776
0.010000,46138,44024,50157,44252
0.020000,46806,43849,47126,44187
0.030000,47318,43909,44152,44259
0.040000,46179,44444,44625,43192
0.050000,44369,43687,45669,42943
0.060000,43203,43012,45306,42707
0.070000,42552,42491,43967,42646
0.080000,42088,42460,42780,42136
0.090000,41425,41895,41846,41887
0.100000,40750,41238,41254,41683
0.110000,40125,41105,40854,40920
0.120000,39783,40692,39542,40312
0.130000,39523,40309,38496,39947
0.140000,38821,39795,38620,39583
0.150000,38155,38986,38363,39291
0.160000,37601,38052,38064,39322
0.170000,37313,38143,37652,38547
0.180000,37168,38006,36678,37763
0.190000,36704,37525,36614,37456
0.200000,36039,37067,36980,37039
0.210000,35774,36602,36262,36604
0.220000,35536,36095,35800,36534
0.230000,35556,35955,34811,36214
0.240000,35158,35886,34814,35850
0.250000,34995,35334,34247,35663
0.260000,34468,34914,34746,35568
0.270000,33866,34755,35074,35019
0.280000,33469,34419,35018,34524
0.290000,33393,34364,34402,33903
0.300000,33710,33635,33276,34085
0.310000,34053,33055,32455,34537
0.320000,33714,33430,32645,34128
0.330000,32967,33485,33139,33503
0.340000,32683,33273,32743,32968
0.350000,32404,32695,32678,33070
0.360000,31875,32945,32887,32540
0.370000,31744,32676,32466,32206
0.380000,31860,32259,31967,32180
0.390000,31810,32101,31808,32075
0.400000,31492,31754,32072,32134
0.410000,31455,32068,31501,31520
0.420000,31636,31589,30841,31608
0.430000,31438,31328,31096,31745
0.440000,31388,30774,31089,32064
0.450000,31321,30916,30865,31843
0.460000,30779,31222,31287,31370
0.470000,30692,30953,30987,31228
0.480000,31179,30464,30093,31454
0.490000,31133,30438,30105,31568
0.500000,31188,30605,29800,31300
0.510000,31180,31131,29471,30592
0.520000,31053,31037,29534,30317
0.530000,30902,30562,29939,30471
0.540000,30488,30145,30702,30803
0.550000,30659,29858,30289,31026
0.560000,30628,30100,30129,30907
0.570000,30265,30692,30367,30317
0.580000,30081,30975,30224,29756
0.590000,30182,30530,29937,29955
0.600000,30353,30404,29720,30129
0.610000,30316,30128,29908,30513
0.620000,30173,30222,30160,30570
0.630000,30067,30377,30251,30426
0.640000,29943,30493,30410,30243
0.650000,30162,30751,29889,29872
0.660000,30393,30724,29468,29827
0.670000,30711,30463,29135,30094
0.680000,30675,30297,29492,30426
0.690000,30591,30502,29786,30302
0.700000,30267,30674,30278,30100
0.710000,29989,30518,30603,30198
0.720000,30089,30433,30335,30345
0.730000,30112,30259,30385,30661
0.740000,29928,30441,30828,30614
0.750000,30059,30383,30585,30663
0.760000,30429,30065,30106,31036
0.770000,30550,30253,30179,31020
0.780000,30505,30110,30472,31174
0.790000,30506,30155,30607,31172
0.800000,30293,30443,30938,30930
0.810000,30235,30556,30883,30791
0.820000,30506,30626,30291,30766
0.830000,30584,30614,30266,30869
0.840000,30796,30678,30152,30837
0.850000,30872,30881,30147,30678
0.860000,30646,30731,30609,30813
0.870000,30265,30645,31230,30956
0.880000,30416,30819,30863,30872
0.890000,30517,30724,30639,31077
0.900000,30823,30886,30251,31032
0.910000,31008,30943,30188,30997
0.920000,30733,30812,30824,31127
0.930000,30408,30862,31387,31108
0.940000,30312,30912,31399,31148
0.950000,30439,31125,31112,31035
0.960000,30443,31161,31061,31081
0.970000,30366,31176,31241,31119
0.980000,30312,31263,31440,31037
0.990000,30409,30912,31407,31404
1.000000,30579,30643,31367,31798
1.010000,31003,31029,30981,31543
1.020000,31167,31438,30787,31154
1.030000,31218,31675,30678,30872
1.040000,30974,31536,31076,30950
1.050000,30952,31426,31186,31065
1.060000,30987,31479,31280,31018
1.070000,31105,31356,31207,31178
1.080000,31272,31313,31108,31296
1.090000,31471,31180,31037,31490
1.100000,31523,31224,31183,31478
1.110000,31676,31321,31121,31402
1.120000,31777,31470,31142,31212
1.130000,31760,31626,31222,31025
1.140000,31623,31604,31431,30999
1.150000,31435,31531,31653,31081
1.160000,31443,31418,31620,31262
1.170000,31315,31207,31770,31589
1.180000,31202,31112,31938,31794
1.190000,31152,31161,32003,31860
1.200000,31282,31684,31800,31443
1.210000,31503,32007,31450,31137
1.220000,31554,32145,31377,30989
1.230000,31480,31928,31534,31207
1.240000,31671,31713,31427,31492
1.250000,31902,31435,31309,31894
1.260000,31839,31128,31623,32266
1.270000,31996,31061,31574,32477
1.280000,31958,31188,31812,32392
1.290000,31837,31378,32046,32196
1.300000,31942,31730,31884,31889
1.310000,31873,31936,31943,31655
1.320000,31936,31954,31795,31663
1.330000,31849,31771,31917,31865
1.340000,31862,31861,31959,31807
1.350000,32146,32041,31599,31731
1.360000,32254,32285,31542,31491
1.370000,32279,32259,31483,31558
1.380000,32162,32249,31726,31521
1.390000,31860,32217,32209,31404
1.400000,31509,32052,32598,31516
1.410000,31330,31812,32705,31843
1.420000,31666,31743,32261,32117
1.430000,31989,31654,31941,32410
1.440000,32240,31669,31862,32495
1.450000,32324,31687,31899,32550
1.460000,32376,31660,31989,32571
1.470000,32383,31893,32159,32269
1.480000,32273,32181,32325,31910
1.490000,31970,32220,32571,31839
1.500000,31748,32273,32665,31827
1.510000,31762,32324,32483,31914
1.520000,31865,32215,32381,32112
1.530000,32152,32137,32216,32241
1.540000,32332,32106,32205,32308
1.550000,32513,32251,32193,32154
1.560000,32538,32435,32240,31941
1.570000,32284,32289,32498,32060
1.580000,32157,32154,32603,32191
1.590000,32075,32119,32699,32237
1.600000,32093,32198,32702,32171
1.610000,32219,32181,32493,32319
1.620000,32419,32155,32287,32479
1.630000,32466,32359,32393,32253
1.640000,32610,32255,32243,32413
1.650000,32999,32242,31853,32563
1.660000,33324,32241,31591,32701
1.670000,33244,32380,31877,32523
1.680000,32900,32406,32331,32353
1.690000,32568,32363,32612,32319
1.700000,32561,32544,32458,32195
1.710000,32538,32491,32406,32301
1.720000,32472,32578,32515,32195
1.730000,32755,32789,32159,32064
1.740000,33060,33040,31856,31876
1.750000,32951,32948,32059,31954
1.760000,32813,32218,32201,32724
1.770000,32822,31780,32250,33264
1.780000,32725,31950,32490,33141
1.790000,32501,32255,32840,32753
1.800000,32459,32486,32825,32508
1.810000,32719,32618,32418,32502
1.820000,32989,32626,32111,32616
1.830000,32981,32479,32262,32748
1.840000,32930,32481,32416,32730
1.850000,32945,32582,32447,32625
1.860000,32878,32574,32524,32631
1.870000,33070,32689,32318,32571
1.880000,32875,32647,32637,32531
1.890000,32418,32385,33125,32690
1.900000,32326,32545,33205,32504
1.910000,32290,32681,33128,32428
1.920000,32364,32610,32946,32600
1.930000,32448,32392,32848,32905
1.940000,32503,32501,32888,32826
1.950000,32573,32748,32881,32585
1.960000,32484,32816,32939,32526
1.970000,32514,32746,32800,32690
1.980000,32697,32835,32616,32662
1.990000,32845,32784,32520,32749
2.000000,32718,32645,32685,32919
2.010000,32807,32573,32626,33032
2.020000,32893,32592,32650,32997
2.030000,32948,32622,32650,32966
2.040000,33071,32814,32614,32732
2.050000,32869,32824,32866,32638
2.060000,32634,32742,33070,32657
2.070000,32492,32764,33164,32596
2.080000,32280,32922,33319,32412
2.090000,32033,32969,33455,32358
2.100000,31943,33063,33468,32253
2.110000,32036,33072,33275,32323
2.120000,32264,33004,33009,32512
2.130000,32760,32948,32567,32706
2.140000,33126,33057,32420,32629
2.150000,33233,33007,32479,32664
2.160000,33244,32884,32625,32708
2.170000,33096,32763,32893,32715
2.180000,32858,32613,33159,32769
2.190000,32815,32486,33127,32912
2.200000,32816,32711,33154,32671
2.210000,32736,32888,33148,32541
2.220000,32551,32847,33225,32612
2.230000,32682,32871,33013,32678
2.240000,32649,32961,33024,32649
2.250000,32584,32895,32986,32810
